abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
barren	adj:: 贫瘠的， 荒芜的； 不结果实的， 不育的； 无益的， 无效果的	barren land::荒地；不毛之地¦barren field::贫瘠的荒野；无油气地区¦barren rock::无油气的岩层；空白岩石；无矿岩；废石
grove	n:: 树丛， 小树林	bamboo grove::竹林
antiquity	n:: 古， 古老； 古代； 古人； 古迹， 古物	
permanent	adj:: 永久的， 持久的	permanent magnet::永久磁铁¦permanent residence::长期居留¦permanent resident::永久性居民¦permanent member::常任理事国；永久性成分¦permanent damage::永久损伤¦permanent job::固定职业¦permanent magnetism::永磁；永久磁性¦permanent deformation::永久变形，残留变形¦permanent establishment::恒久的设施¦permanent representative::常驻代表；常驻大使¦permanent address::永久地址；永久住址；原籍¦permanent mold::永久铸模；金属铸模¦permanent basis::平时编制¦permanent error::永久误差；永久性错误¦permanent mould::永久模，硬模¦permanent way::永存性公路；铁路线路¦permanent position::固定位置¦permanent mold casting::金属型铸造；冷硬铸造¦permanent memory::永久性存储器；固定存储器¦permanent set::永久变形；最后凝结；固定装置
foster	v::培养，培育；鼓励，促进；领养¦adj:: 收养的	foster care::看护；照顾¦foster home::寄养家庭；抚养孤儿的家庭¦foster father::养父¦foster son::n. 养子¦jodie foster::n. 朱迪·福斯特（美国女演员）
facility	n::设施；设备；容易；灵巧	manufacturing facility::制造设施，生产设施；生产设备¦production facility::生产设备，生产设施¦facility management::设施管理；设备管理¦test facility::试验设备¦communication facility::通信设备；通信设施¦storage facility::储藏设施；存储设备¦public facility::公共设施¦experimental facility::实验装置，实验设施¦research facility::研究设施¦facility location::设施选址；设施位置选择；设施区位¦nuclear facility::核设施¦service facility::服务设施；整备设备¦facility design::设施设计；工具设计¦credit facility::信用透支；信贷安排；信贷融通；银行对同业提供信用¦port facility::港口设施，港口设备；港埠设施¦correctional facility::监狱¦overdraft facility::（英）（银行存款）透支法¦facility cost::设备成本¦community facility::社区设施¦conference facility::会议场所；会议设备
gregarious	adj:: 群居的； 合群的； 爱交际的	
beam	v:: 面露喜色； 发射电波， 播送¦n::束；梁；笑容，喜色	laser beam::激光束¦electron beam::电子束¦concrete beam::混凝土梁¦on the beam::航向正确；正横地；必须用泵抽油的¦ion beam::离子束¦cantilever beam::悬臂梁¦gaussian beam::高斯光束¦continuous beam::连续梁¦light beam::光束；线偏振光束；直接光线¦box beam::箱形梁，盒形梁¦walking beam::n. （蒸汽机的）步进梁；活动梁¦beam on::微笑¦composite beam::复合梁；合成梁；混合梁¦main beam::主声束；主光束¦beam structure::梁结构¦beam of light::光束¦steel beam::钢梁¦electron beam welding::电子束焊接¦balance beam::n. 平衡木；天平横梁；平衡杆，秤杆¦curved beam::[建]曲梁
trinket	n:: 小装饰品； 不值钱的珠宝	
civilization	n:: 文明， 文化	spiritual civilization::精神文明¦modern civilization::现代文明¦ancient civilization::古代文明；远古文化¦material civilization::物质文明¦western civilization::n. 西方文明；西方文化¦socialist political civilization::社会主义政治文明建设
fiction	n:: 小说	science fiction::科幻小说¦stranger than fiction::奇幻人生（电影名称）¦horror fiction::恐怖小说¦legal fiction::法律虚拟（指法律事务上为权宜计在无真实依据情况下所作的假定）¦science fiction film::科幻片¦pulp fiction::低俗小说（电影名称）；黑色追缉令¦crime fiction::n. 犯罪小说
disenchantment	n:: 失望， 不抱幻想	
cucumber	n:: 黄瓜	sea cucumber::[动]海参（等于holothurian）¦cool as a cucumber::十分冷静¦cucumber extract::黄瓜精华；小黄瓜萃取液¦cucumber mosaic virus::黄瓜花叶病毒
replace	vt:: 代替； 更换； 把…放回原处	replace with::替换为；以…代替¦replace by::取代；以…代替
bead	n:: 珠子； 小滴	glass bead::玻璃珠¦draw bead::张力调整杆；拉深压边筋；拉道¦bead welding::堆焊；珠焊；坡口焊；窄焊道焊接¦weld bead::焊缝；焊珠；熔敷焊道¦bead wire::卷边嵌线；轮胎钢丝¦back bead::背面焊道（缝）；封底焊道
aviation	n:: 航空， 飞行； 航空制造业	civil aviation::民用航空¦aviation industry::航空工业；飞机制造业¦aviation safety::航空安全，飞行安全¦aviation authority::民航当局¦general aviation::通用航空；专用航空；普通航空业¦aviation kerosene::喷气机用煤油，航空煤油¦aviation fuel::航空燃料¦commercial aviation::商用航空事业¦federal aviation administration::[运输工程]联邦航空管理局¦international civil aviation organization::国际民航组织¦aviation accident::航空事故；飞机失事；飞行事故¦aviation insurance::航空保险¦aviation medicine::n. 航空医学；空间医学
appointment	n:: 约会	make an appointment::约会，预约¦make an appointment with::与某人约会¦have an appointment::有约会¦appointment system::委任制¦by appointment::按照约定¦letter of appointment::委任书，聘书¦appointment book::记事簿；预约簿
emulate	vt:: 与…竞争， 赶上； 仿真， 模仿	
crockery	n:: 陶器； 瓦器	
trek	vi&n:: 牛拉车； 艰苦跋涉	
squash	v:: 压碎， 挤压； 挤进， 塞入； 镇住， 镇压； 制止¦n::软式墙网球，壁球	summer squash::西葫芦；矮性南瓜¦winter squash::冬南瓜；笋瓜；印度南瓜¦squash court::壁球场，壁球室
major	vi:: 主修， 专攻¦adj::主要的¦n::专业	major in::主修¦major factor::主要因素¦major part::主要部分；重要部件¦english major::英语专业¦major component::主要部件；主要元件¦major equipment::主要设备¦major product::主要产品¦major event::重大事件；主要事件¦major function::主要功能；优函数¦major industry::重点工业；大型工业¦major subject::专业；主科¦major key::大调；主键值¦major earthquake::大地震，主震¦major league::职业体协；职业性运动联盟¦major operation::[医]大手术¦major general::[军]少将¦major element::主要元素¦major gene::主要基因；知基因；柱因¦major axis::长轴；主轴；长径；强轴¦pectoralis major::n. [解]大胸肌
interrupt	v:: 中断， 中止； 阻碍； 打断， 打扰	interrupt handling::中断处置¦external interrupt::外部中断¦interrupt request::中断请求¦interrupt controller::中断控制器
emphasis	n:: 强调； 重要性	emphasis on::着重于；对…的强调¦put emphasis on::重视，强调；把重点放在……¦lay emphasis on::强调；把重点放在¦place emphasis on::重视；强调¦give emphasis to::vt. 强调（着重）
feasible	adj:: 可行的， 可能的； 可做的， 可实行的	feasible solution::可行解释；适宜解¦feasible region::[化]可行域；[计]可行区域；[经]可行性区域¦economically feasible::经济上可行的，经济上合算
prescribe	v:: 开处方， 开药； 规定， 指示	prescribe for::开处方，开药方
potential	adj::潜在的；可能的¦n:: 潜力， 潜能	market potential::[经]市场潜力；市场潜在需求量¦potential energy::势能¦development potential::发展潜力；发展前景¦potential market::潜在市场¦growth potential::增长潜力；生长势¦full potential::全电位；全电势¦electric potential::电位；电势¦potential value::潜在价值；位势值；平衡值¦high potential::高电势；潜能¦potential field::势场；位场¦potential difference::n. 势差，位差¦potential distribution::电位分布¦potential function::势函数；位函数¦evoked potential::[生理学]（大脑皮质的）激发性电位¦water potential::水势；水潜能；静水压；水位¦action potential::动作电位；动诅位¦potential customer::潜在的顾客¦potential demand::潜在需要¦potential impact::潜在影响¦chemical potential::化学势，化学位
turbine	n:: 涡轮机， 汽轮机	steam turbine::汽轮机；蒸汽轮机；蒸汽透平¦gas turbine::燃气轮机；燃气涡轮¦wind turbine::风力涡轮机¦turbine blade::涡轮叶片，透平叶片¦hydraulic turbine::水轮机；水力透平¦turbine generator::涡轮发电机（等于turbogenerator）¦water turbine::水力涡轮机，水轮机¦turbine rotor::涡轮机转子¦turbine oil::透平油¦turbine engine::汽轮机，涡轮发动机¦francis turbine::[机]法氏水轮机¦air turbine::空气涡轮；空气透平¦turbine flowmeter::涡轮流量计¦gas turbine engine::n. 燃气涡轮发动机；气轮机¦power turbine::动力透平机；动力涡轮机¦kaplan turbine::卡普兰水轮机；转桨式水轮机¦pelton turbine::水轮机；培尔顿水轮机；水斗式水轮机¦turbine cylinder::涡轮机壳体¦turbine pump::涡轮泵；涡轮抽水机¦impulse turbine::冲力式涡轮机；冲击式汽轮机；水戽式（冲击式）水轮机
lounge	vi::懒洋洋地站¦n:: 等候室； 休息室	lobby lounge::大堂酒廊；大堂酒吧¦cocktail lounge::餐馆；鸡尾酒会¦departure lounge::候机室；启程处¦lounge chair::睡椅，沙发床
gross	adj:: 总的， 毛的	gross domestic product (gdp)::国内生产总值¦gross domestic product::国内生产总值¦gross domestic product (GDP)::国内生产总值¦gross national product::国民生产总值¦gross national product (GNP)::国民生产总值（等于GNP）¦gross national product (gnp)::国民生产总值（等于GNP）¦gross income::总收入，总收益¦gross area::总面积；建筑毛面积¦gross profit::毛利；总利润¦gross margin::[经]毛利¦in gross::大体上；大批地；以批发方式（等于by the gross）；[古语]整体地；全盘地¦gross weight::毛重，总重量¦gross error::严重错误；过失误差¦gross value::总值；生产性固定资产总值¦gross negligence::重大过失；严重过失；显著的疏忽¦in the gross::大体上；总的说来；大量地¦gross output::总产量¦gross anatomy::[医]大体解剖学¦gross tonnage::总吨位¦gross floor area::建筑毛面积；总楼面面积
resist	v:: 抵抗； 抗； 耐	resist the temptation::抵制诱惑；抵挡住诱惑¦hard to resist::人见人爱；无法抗拒；惹人喜爱¦resist heat::耐热¦resist printing::n. 防染印花¦resist temptation::抵制诱惑；不受引诱
bereave	vt:: 使丧失， 剥夺	
archive	n::档案；档案室¦vt:: 存档	archive file::n. [计]档案文件
stimulate	vt:: 刺激； 使兴奋； 激发， 激励	stimulate economic growth::拉动经济增长¦stimulate domestic demand::刺激国内需求
soak	v:: 浸泡	soak in::吸收；被深刻领会¦soak up::v. 吸收¦soak time::浸泡时间¦soak into::v. 渗透入¦soak up the sun::v. 沐日光浴¦soak out::v. 浸泡出
commute	v::上下班往返，经常往返；交换，抵偿；减刑¦n:: 上下班路程	
fibre	n:: 纤维	carbon fibre::碳纤维¦glass fibre::玻璃纤维¦chemical fibre::化学纤维¦optical fibre::光学纤维；光导纤维¦dietary fibre::饮食纤维素¦polyester fibre::涤纶；[化]聚酯纤维¦synthetic fibre::合成纤维¦cotton fibre::棉纤维¦fibre channel::光纤通道，纤维管路¦fibre glass::n. 玻璃纤维¦glass fibre reinforced plastic::玻璃钢¦plant fibre::植物纤维¦natural fibre::天然纤维¦acrylic fibre::聚丙烯腈系纤维；丙烯酸纤维¦staple fibre::人造短纤维¦fibre optics::纤维光学（等于fiber optics）¦superfine fibre::超细纤维¦soybean protein fibre::大豆蛋白质纤维¦ceramic fibre::陶瓷纤维；耐火陶瓷纤维¦viscose fibre::粘胶纤维
