abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
personality	,pɝsə'næləti	ˌpɜːsə'næləti	n:: 人格， 个性； 人物	healthy personality::健康人格；健全人格¦personality development::人格发展，个性发展¦independent personality::独立人格¦personality trait::人格特质，个性品质¦personality disorder::人格障碍；人格失常¦personality theory::人格理论；个性理论；性格理论¦personality questionnaire::人格问卷¦dual personality::双重人格；双重性格¦personality type::人格类型，人格型¦personality psychology::人格心理学；个性心理学¦personality test::人格测验；人格试验¦personality chips::个性芯片；性格芯片¦personality formation::人格形成¦borderline personality::边缘型人格；边缘性人格障碍¦personality inventory::人格量表；人格调查表¦split personality::[医]人格分裂¦personality cult::n. 个人崇拜¦borderline personality disorder::边缘型人格障碍¦personality change::人格改变¦antisocial personality::反社会人格	Despite their different personalities, they became the best of friends.::尽管个性不同，他们还是成了最好的朋友。¦Unfortunately, the illness can lead to changes in personality.::不幸的是，这种病会导致性格变化。
sanction	'sæŋkʃən	'sæŋkʃn	vt::批准，认可¦n:: 批准， 认可； 约束因素， 约束力； 国际制裁	legal sanction::n. 法律制裁¦economic sanction::[经]经济制裁	The church refused to sanction the king’s second marriage.::教会拒绝批准国王的第二次婚姻。
alert	ə'lɝt	ə'lɜːt	adj::警觉的，留神的，注意的¦vt::使认识到，使意识到¦n:: 警戒， 戒备； 警报	alert someone to sth::使...警觉；使...警惕¦on the alert::提防；警戒著；随时准备著¦red alert::紧急警报，红色警报；应急状况	The animal raised its head, suddenly alert.::那只动物突然警觉地抬起头来。¦Taking notes is one of the best ways to stay alert in lectures.::记笔记是听课时集中注意力的最佳方法之一。
deduce	dɪ'dʊs	dɪ'djuːs	vt:: 推论， 推断， 演绎	deduce from::推断；从…得出结论	Alison cleverly deduced that I was the author of the letter.::艾莉森聪明地推断出我是这封信的作者。
oak	ok	əuk	n:: 栎树， 橡树； 栎木， 橡木	white oak::n. ［植］白栎木；白栎¦red oak::红橡木¦oak ridge::橡树岭（美国田纳西州东部城市）¦cork oak::（欧）栓皮栎¦oak ridge national laboratory::橡树岭国家实验室	an oak door::橡木门
client	'klaɪənt	'klaɪənt	n:: 委托人， 当事人； 顾客	client service::客户服务；向委托部门提供服务¦client base::客户群；基本顾客¦client side::客户端；使用端¦client application::[计]客户应用程序¦client management::客户管理¦thin client::瘦客户机；瘦客户端；精简型电脑¦client server::客户服务器¦client area::客户区；工作区¦client request::用户请求；客户端请求¦corporate client::法人客户；企业客户¦client agreement::客户协议¦client list::客户名单，客户名录¦client programs::客户程序¦client support::客户支持¦client confidentiality::客户保密的责任；机密性客户机程序¦regular client::常年客户；常年委托人	a meeting with an important client::与一位重要客户的会面
sip	sɪp	sɪp	v::小口地喝，抿，呷¦n:: 小口喝， 一小口的量	take a sip::尝一口；小啜；喝一小口	She was sitting at the table sipping her coffee.::她坐在桌边呷着咖啡。
dutiful	'dʊtɪfəl	'djuːtɪfl	adj:: 恭敬顺从的； 尽职的		a dutiful son::孝顺儿子¦Dutiful applause greeted his speech.::他的讲话被报以礼节性的鼓掌。
contend	kən'tɛnd	kən'tend	vi::争夺，竞争；搏斗，争斗¦vt:: 声称， 主张	contend with::对付；与…作斗争	Inevitably, fights break out between the members of contending groups.::争权夺利的几个团体之间不可避免地发生了打斗。
conversion	kən'vɝʒn	kən'vɜːʃn	n:: 转变， 变换； 改变信仰， 皈依	frequency conversion::频率变换¦conversion rate::汇率；折合率；兑换率¦conversion efficiency::换能效率¦energy conversion::能量转换；能量变换¦conversion process::转化过程¦power conversion::n. 功率换算；能量变换¦data conversion::资料转换；数据变换¦conversion ratio::兑换率¦wavelength conversion::波长转换¦coordinate conversion::坐标变换¦feed conversion::饲料转化率；饲料利用¦conversion coating::转化膜，转化层；机外涂布¦photoelectric conversion::n. 光电转换；光电变换¦conversion factor::换算因数；转换因子；变换因数¦conversion coefficient::转换系数；变换系数¦mode conversion::模式变换；波型转换¦conversion equipment::转换设备；转换器¦conversion device::转换装置¦protocol conversion::协议转换¦code conversion::代码转换	...the conversion of disused rail lines into cycle routes.::…把废弃的铁路改变成自行车道。
brilliant	'brɪljənt	'brɪliənt	adj:: 光辉的； 卓越的	brilliant blue::鲜蓝；酞青；孔雀兰¦brilliant sunshine::灿烂的阳光¦brilliant green::亮绿¦coomassie brilliant blue::考马斯亮蓝¦brilliant yellow::亮黄¦brilliant white::炽白光；亮白¦brilliant orange::亮橙，亮桔红	She closed her eyes against the brilliant light .::强烈的光线下，她闭起了眼睛。¦We sat outside in the brilliant sunshine .::我们坐在外面，沐浴在灿烂的阳光下。¦She was dressed in brilliant white.::她穿着一身耀眼的白色。
gamble	'ɡæmbl	'gæmbl	vi::赌博，打赌；投机，冒险¦vt::赌，以…为赌注¦n:: 赌博； 投机， 冒险	gamble on::对…打赌¦gamble away::赌光	Their religion forbids them to drink or gamble.::他们的宗教禁止饮酒和赌博。¦Yesterday, he named his cabinet and took a big gamble in the process.::昨天他冒了很大的风险任命了他的内阁。
bound	baʊnd	baund	adj::一定的；有义务的¦v::跳跃；弹回，反跃；成为…的界限，给…划界¦n:: 跳跃； 界限， 限制	upper bound::上界；最大值¦bound for::开往…¦be bound by::受…约束；由…联系起来¦lower bound::下界¦bound with::与…合订；与…有共同的境界；（因喜悦等而）雀跃¦bound up with::与…关系密切¦branch and bound::分支界限法；界定法¦bound water::束缚水；结合水；化合水¦within bounds::adv. 在允许范围内¦duty bound::有责任（做某事）；感到应该¦outward bound::拓展训练；驶出的；开往国外的¦be bound in::(书籍)封面是用…装订的¦bound on::猛扑¦in duty bound::有责任（做某事）；感到应该¦bound up in::专心，沉迷于，忙于¦know no bounds::无限；不知限量¦bound state::束缚态¦bound volume::合订本	
specification	'spɛsəfə'keʃən	ˌspesɪfɪ'keɪʃn	n:: 规格， 规范； 明确说明； 说明书	technical specification::技术规范；技术说明¦product specification::产品规格；制品技术规格¦design specification::设计规范；设计规格；设计任务书；设计细节¦standard specification::标准规范¦quality specification::质量标准；质量说明书¦specification language::规范语言，规约语言¦process specification::加工标准；工艺说明书¦requirements specification::需求规格说明；要求说明¦performance specification::性能说明；性能规格¦material specification::材料规格；原材料明细表¦test specification::测试规范¦job specification::工作规范；工作要求¦general specification::一般技术要求；总说明书；通用技术条件government specification（s）国定技术规范¦detailed specification::详细说明¦model specification::模型设定；模式定式¦equipment specification::设备说明书¦specification sheet::规格单；职责明细表¦technological specification::技术规范¦functional specification::功能规格¦specification limit::技术说明规范；规格界限	The bolts met all the engineering specifications .::这些螺栓符合所有的工程设计规格。
deport	dɪ'pɔrt	dɪ'pɔːt	vt:: 把…驱逐出境		...a government decision earlier this month to deport all illegal immigrants.::…本月早些时候政府一项驱逐所有非法移民的决定。
counter	'kaʊntɚ	'kauntə	n:: 柜台； 计数器； 筹码	counter measure::对策；防范措施；反措施¦particle counter::粒子计数器；粒子计数管；颗粒测量计数器¦over the counter::成药；直接交易¦counter attack::反攻，逆袭¦under the counter::私下出售的；暗中作成的；违法的；走后门¦service counter::服务台¦counter current::反流，逆流；反向电流¦check-in counter::入口检查处；报到处¦counter top::案台，柜台面¦counter flow::逆流¦counter party::对应方¦counter offer::买方还价，还盘¦ticket counter::售票台；售票柜台；票务处¦counter trade::补偿贸易；相向贸易；反信风¦program counter::程序计数器¦counter pressure::背压，反压¦counter sample::相对样品；对等货样¦bar counter::吧台；酒吧台¦electronic counter::电子计算器¦frequency counter::计频器	He wondered if the girl behind the counter recognised him.::他在想柜台后面的那个女孩是否认出了他。
rhythm	'rɪðəm	'rɪðəm	n:: 韵律， 节奏	circadian rhythm::生理节律；[化]近昼夜节律；日周期节律¦sense of rhythm::节奏感；韵律感¦sinus rhythm::窦性节律¦growth rhythm::生长节律¦rhythm and blues::节奏布鲁斯音乐¦diurnal rhythm::昼间节率；昼夜节律¦cardiac rhythm::[医]心节律；[医]心搏节律¦biological rhythm::生物节律¦rhythm section::[音]（交响乐队中用以烘托乐曲节奏的）节奏乐器组	Drums are basic to African rhythm.::非洲音乐节奏少不了鼓。¦complicated dance rhythms::复杂的舞蹈节奏
layman	'lemən	'leɪmən	n:: 门外汉， 外行		To the layman (= laymen in general ) all these plants look pretty similar.::对外行的人来说，这些植物看起来都很相似。¦If you don’t understand what the doctor says, ask to have it explained in layman’s terms (= in simple language ).::如果你听不懂医生的话，就请他用通俗易懂的语言来解释一下。
conserve	kən'sɝv	kən'sɜːv	vt:: 保护， 保藏， 保存		We must conserve our woodlands for future generations.::我们必须为子孙后代保护林地。¦efforts to conserve fish stocks::保护鱼类资源的努力
stroke	strok	strəuk	n::中风；一举，一次努力；划桨，划水；击，敲；报时的钟声；笔画，一笔；抚摸¦vt:: 抚摸	one stroke::一行程；一次行程¦on the stroke::准时地¦long stroke::长冲程¦heat stroke::中暑¦lightning stroke::雷击¦at one stroke::一举；一笔；马上¦stroke unit::卒中单元；中风单元¦at a stroke::一下子¦vertical stroke::垂直行程¦two stroke::二冲程的¦brush stroke::笔触，绘画的技巧；画笔描边¦a stroke of luck::一次好运，幸运的机缘¦stroke play::比杆赛；划桨法；击球法¦stroke control::行程控制；冲程调节，行程调节¦stroke length::[化]行程长度¦breast stroke::n. 蛙泳¦stroke volume::心博量；冲程容积¦stroke order::笔划顺序¦short stroke::短行程，短气体活塞行程；短时雷击¦return stroke::回程；反冲程	She died following a massive stroke.::她重度中风后去世了。¦a stroke patient::中风患者
breed	brid	briːd	v:: 繁殖； 养育， 培育； 酿成， 产生¦n::品种	rare breed::凤毛麟角；稀有品种¦breed out::在人工繁殖中消除¦pure breed::纯种	Eagles breed during the cooler months of the year.::鹰在一年中较凉爽的季节交配繁殖。
tease	tiz	tiːz	vt:: 戏弄， 取笑； 挑逗， 撩拨		Don’t get upset. I was only teasing .::别生气，我只是在逗你玩。¦He used to tease her mercilessly .::他过去总是无情地取笑她。
rash	ræʃ	ræʃ	adj::轻率的，鲁莽的¦n:: 疹， 皮疹； 爆发的一连串	diaper rash::[医]尿布疹¦skin rash::皮疹	Please Jessie, don’t do anything rash.::求你了，杰西，不要草率行事。¦Don’t go making any rash decisions about your future!::不要对你的未来贸然作决定！¦It was rather rash of you to lend them your car.::你把汽车借给他们实在有欠考虑。
