adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
slum	slʌm	slʌm	v::（为猎奇或救济等）去贫民窟::¦n::贫民窟；陋巷；脏乱的地方::a house or an area of a city that is in very bad condition, where very poor people live		The slum must be inside you.::贫民窟一定是在你内心.¦But, she added, even after she had a classroom, she had no idea what might come of her effort to teach kids from the slum.::但她补充说，即使她有了教室后，她并不知道她对贫民窟的孩子施教会得出什么样的结果。	n::[经]贫民窟；陋巷；脏乱的地方::bustee, rookery	adj::slummy:: 贫民区的；贫民窟的					
slumber	'slʌmbɚ	'slʌmbə	n::睡眠；麻木状态；静止状态::sleep¦v::睡眠；蛰伏；麻木::to sleep		He passed into a deep slumber.::他酣然入梦。	n::睡眠；麻木状态；静止状态::sleep, morpheus	adj::slumberous:: 催眠的；昏昏欲睡的；不活跃的；平静的（等于slumbrous）¦adj::slumbery:: 催眠的（等于slumberous）；昏昏欲睡的					
sly	slaɪ	slaɪ	adj::狡猾的；淘气的；诡密的::someone who is sly cleverly deceives people in order to get what they want¦n::(Sly)人名；(英)斯莱::	on the sly::偷偷地；秘密地	He leaned forward with a sly smile.::他俯身向前诡秘地一笑。	adj::狡猾的；淘气的；诡密的::designing, knowing, subtle, tricky	adv::slyly:: 狡猾地；秘密地；俏皮地¦n::slyboots:: 恶作剧者；狡猾的人¦n::slyness:: 狡猾；诡秘					
smack	smæk	smæk	n::滋味；少量；海洛因；风味::a smell or flavour that is distinctive though faint ¦v::掴；用掌击::to hit someone, especially a child, with your open hand in order to punish them¦adv::猛然；直接地::		the debate about whether parents should smack their children::有关父母该不该打孩子的辩论	n::滋味；少量；海洛因；风味::flavor, bit, horse¦adv::猛然；直接地::directly, immediately, straight, fair	n::smacker:: 发出声音的接吻；发出咂咂声的人；一块钱					
smash	smæʃ	smæʃ	v::粉碎；使破产；溃裂::to break into pieces violently or noisily, or to make something do this by dropping, throwing, or hitting it¦n::破碎；扣球；冲突；大败::a hard downward shot in tennis or similar games¦adj::了不起的；非常轰动的；出色的::	smash up::撞毁，击毁¦smash hit::n. 非常流行的东西；轰动的演出	Vandals had smashed all the windows.::破坏分子打碎了所有的窗子。¦Firemen had to smash the lock to get in.::消防员不得不砸锁而入。¦Several cups fell to the floor and smashed to pieces .::有几个杯子掉到地上摔得粉碎。	vt::粉碎；使破产；溃裂::comminute, pulverize¦n::破碎；扣球；冲突；大败::interference, conflict, cleaning, war, collision¦vi::粉碎；打碎::size reduction, to break up¦adj::了不起的；非常轰动的；出色的::cool, impressed, marvelous	adj::smashed:: 破碎的；喝醉酒的¦adj::smashing:: 了不起的，极好的；粉碎性的，猛烈的¦n::smasher:: 击碎者；撞击物；扣球手；猛烈的打击¦v::smashed:: 粉碎（smash的过去式和过去分词）¦v::smashing:: 粉碎（smash的现在分词）					
smear	smɪr	smɪə	v::诽谤；弄脏；涂上；把…擦模糊::to tell an untrue story about someone important in order to make people lose respect for them – used especially in newspapers¦n::涂片；诽谤；污点::a dirty mark made by a small amount of something spread across a surface	pap smear::子宫颈抹片检查¦blood smear::血涂片；血液涂片	an attempt to smear the party leadership::污蔑党领导的 企图	vt::诽谤；弄脏；涂上；把…擦模糊::soil, mud, spot, wrong, dirty¦n::[生物]涂片；诽谤；污点::scandal, personalities¦vi::被弄脏::smudge						
smith	smɪθ	smɪθ	n::史密斯（男子姓氏）::	adam smith::亚当·斯密¦will smith::威尔·史密斯（美国艺人）¦paul smith::保罗·史密斯（人名，英国服饰品牌）¦smith chart::[电]史密斯圆图¦granny smith::绿苹果（澳大利亚的一种青绿色苹果）		n::铁匠；[机]锻工；制作者::blacksmith, ironsmith	n::smithy:: 铁匠铺；铁匠；锻冶场					
smoked	smokt	sməʊkt	adj::熏制的::Smoked glass has been made darker by being treated with smoke¦v::用烟处理（smoke的过去分词）::	smoked salmon::熏制鲑鱼¦smoked fish::熏鱼，五香熏鱼；熏制鱼产品	...a white van with smoked glass windows.::...一辆装有烟熏玻璃窗的白色货车。	adj::熏制的::cured	adj::smoking:: 准许吸烟的¦adj::smoky:: 冒烟的；烟熏味的；熏着的；呛人的；烟状的¦adj::smokeless:: 无烟的；不冒烟的¦adv::smoking:: 冒着烟¦n::smoke:: 烟；抽烟；无常的事物¦n::smoking:: 抽烟；冒气¦n::smoker:: 吸烟者；薰制工¦n::smokehouse:: 熏制室，熏制房¦v::smoking:: 吸烟；冒烟（smoke的现在分词）¦vi::smoke:: 冒烟，吸烟；抽烟；弥漫¦vt::smoke:: 吸烟；抽					
smokeless	'sməuklis	'sməʊklɪs	adj::无烟的；不冒烟的::tobacco that you chew rather than smoke	smokeless tobacco::无烟烟草	Only a handful of studies have analyzed the heart effects of smokeless tobacco, and the findings are not as strong as the researchers expected.::只有少数的几个研究分析了无烟烟草对健康的影响，得出来的结并不如所预期的那样联系紧密。¦If you smoke or use smokeless tobacco, your dentist or dental hygienist can show you where a sore, spot, patch or lump is most likely to appear.::如果你吸烟或者无烟烟草，你的牙医或牙科保健师会告诉你哪里很可能会出现溃疡，斑片，碎屑或者肿块。		adj::smoking:: 准许吸烟的¦adj::smoky:: 冒烟的；烟熏味的；熏着的；呛人的；烟状的¦adj::smoked:: 熏制的¦adv::smoking:: 冒着烟¦n::smoke:: 烟；抽烟；无常的事物¦n::smoking:: 抽烟；冒气¦n::smoker:: 吸烟者；薰制工¦v::smoking:: 吸烟；冒烟（smoke的现在分词）¦v::smoked:: 用烟处理（smoke的过去分词）¦vi::smoke:: 冒烟，吸烟；抽烟；弥漫¦vt::smoke:: 吸烟；抽					
smokestack	'smokstæk	'sməʊkstæk	n::烟囱，烟窗::a tall  chimney  at a factory or on a ship¦adj::低技术制造业的；大工厂的::		At the other end of Shenzhen from Longgang, no smoke is visible from the towering smokestack of the Baoan incinerator, built by a company owned by the municipal government.::深圳龙岗的另一端是宝安垃圾焚烧厂，它由政府所有的一家公司建造，它的烟囱里几乎没有任何可视烟雾排出。¦Today, the fly ash produced by coal-fired power plants brims with cenospheres, but they are largely trapped by pollution-control equipment before they escape the smokestack.::如今，由煤炭发电厂所排放的煤灰中充斥着许多小“煤胞”，但大部分在逃离工厂的大烟囱前就让污染控制设备给过滤了。¦So for months I have watched a gray plume rise heroically from the smokestack’s summit, disappearing into the gray muckosphere.::连着好几个月，偶都眼巴巴地看着一股灰色的烟柱从烟囱顶上冒出，直冲云霄，最终消失在灰蒙蒙的烂大气里。	n::[铁路][船][建]烟囱，烟窗::lum, chimney flue						
smoky	'smoki	'sməʊkɪ	adj::冒烟的；烟熏味的；熏着的；呛人的；烟状的::producing too much smoke		a smoky engine::冒出大量烟的引擎	adj::冒烟的；烟熏味的；熏着的；呛人的；烟状的::fumy, reeky	adj::smoking:: 准许吸烟的¦adj::smoked:: 熏制的¦adj::smokeless:: 无烟的；不冒烟的¦adv::smoking:: 冒着烟¦n::smoke:: 烟；抽烟；无常的事物¦n::smoking:: 抽烟；冒气¦n::smoker:: 吸烟者；薰制工¦v::smoking:: 吸烟；冒烟（smoke的现在分词）¦v::smoked:: 用烟处理（smoke的过去分词）¦vi::smoke:: 冒烟，吸烟；抽烟；弥漫¦vt::smoke:: 吸烟；抽					
smudge	smʌdʒ	smʌdʒ	v::弄脏，涂污；用浓烟熏::if ink, writing etc smudges, or if you smudge it, it becomes dirty and unclear because it has been touched or rubbed¦n::污点，污迹；烟熏火堆::a dirty mark		Don’t touch it! You’ll smudge the ink.::别碰它！你会把墨水抹花的。	vt::弄脏，涂污；用浓烟熏::soil, mud, spot, dirty¦vi::被弄脏；形成污迹::smear¦n::污点，污迹；烟熏火堆::jaup, tainture	adj::smudgy:: 脏污的；满是污垢的					
smuggle	'smʌgl	'smʌg(ə)l	v::走私；偷运::to take something or someone illegally from one country to another		My message is "If you try to smuggle drugs you are stupid."::我的讯息是，“你若企图走私毒品，那是犯傻。”		n::smuggling:: 走私¦n::smuggler:: 走私者；走私犯；[法] 走私船¦v::smuggling:: 走私					
snail	snel	sneɪl	n::蜗牛；迟钝的人::a small soft creature that moves very slowly and has a hard shell on its back¦v::缓慢移动::	snail mail::蜗牛邮件；邮寄信件	Traffic was moving at a snail’s pace.::车辆移动的速度慢得像蜗牛。	n::[无脊椎]蜗牛；迟钝的人::pachyderm, schnook						
snapshot	'snæpʃɑt	'snæpʃɒt	n::快照，快相；急射，速射；简单印象::a photograph taken quickly and often not very skilfully¦vt::给…拍快照::¦vi::拍快照::		Let me take a snapshot of you guys, so friends back home can see you.::让我给你们大家拍张快照，这样家里的朋友们可以看到你们。	n::[摄]快照，快相；急射，速射；简单印象::instantane, rapid fire						
sneak	snik	sniːk	v::溜；鬼鬼祟祟做事；向老师打小报告::to go somewhere secretly and quietly in order to avoid being seen or heard¦n::鬼鬼祟祟的人；偷偷摸摸的行为；告密者::someone who is not liked because they do things secretly and cannot be trusted¦adj::暗中进行的::	sneak out::渐隐；偷偷溜走¦sneak in::淡入，渐显¦sneak out of::逃避；偷偷溜出¦sneak attack::n. 偷袭¦sneak preview::影片未公开宣布的预演；内部预映；试映¦sneak peek::先睹为快；快速前瞻¦sneak up on::偷偷地接近（等于creep up on）	You little sneak!::你这个打小报告的家伙！	vt::偷偷地做；偷偷取得::steal¦n::鬼鬼祟祟的人；偷偷摸摸的行为；告密者::informer, confidential informant¦adj::暗中进行的::under-the-table	adj::sneaky:: 鬼鬼祟祟的；暗中的，卑鄙的¦adj::sneaking:: 鬼鬼祟祟的；私下的；卑鄙的¦adv::sneakingly:: 卑鄙地；偷偷地¦n::sneaker:: 运动鞋；卑鄙者；鬼鬼祟祟做事的人¦v::sneaking:: 潜行（sneak的ing形式）					
sneer	snɪr	snɪə	v::嘲笑，冷笑::to smile or speak in a very unkind way that shows you have no respect for someone or something¦n::嘲笑，冷笑::an unkind smile or remark that shows you have no respect for something or someone	sneer at::嘲笑；蔑视	‘Is that your best outfit?’ he sneered.::“那就是你最好的衣服了？”他讥笑道。	vi::嘲笑，冷笑::laugh at, make a mockery of¦vt::嘲笑，冷笑::laugh at, deride¦n::嘲笑，冷笑::derision, sarcasm	adv::sneeringly:: 嘲笑地；轻蔑地					
snicker	'snɪkɚ	'snɪkə	v::偷笑，窃笑::to laugh quietly and in a way that is not nice at something which is not supposed to be funny¦n::窃笑::Snicker is also a noun		We all snickered at Mrs. Swenson.::我们都暗暗嘲笑斯温森太太。¦...a chorus of jeers and snickers.::...一阵嗤笑。	vi::偷笑，窃笑::laugh in one's beard¦n::窃笑::snigger, titter						
sniff	snɪf	snɪf	v::嗅；嗤之以鼻::to breathe air in through your nose in order to smell something¦n::吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声::Sniff is also a noun	sniff out::发现；寻找¦sniff at::嗤之以鼻；嗅；轻视	He opened the milk and sniffed it.::他打开牛奶闻了闻。¦At last the sobs ceased, to be replaced by sniffs.::最后呜咽声终于停止了，取而代之的是抽鼻子的声音。	vi::嗅；嗤之以鼻::smell, snuff at¦vt::嗅；闻；用力吸；发觉::smell, nose, discover¦n::吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声::suction, smell, wind	adj::sniffy:: 嗤之以鼻的；自命不凡的；微臭的¦n::sniffer:: 嗅探器；嗅探犬；以鼻吸毒者					
snobbery	'snɑbəri	'snɒb(ə)rɪ	n::势利，谄上欺下；摆绅士架子；势利的行为或语言::behaviour or attitudes which show that you think you are better than other people, because you belong to a higher social class or know much more than they do – used to show disapproval		{"COLLOINEXA":["intellectual snobbery"]}::知识分子的自命不凡		adj::snobbish:: 势利的¦adj::snobby:: 势利的（等于snobbish）¦n::snob:: 势利小人，势利眼；假内行¦n::snobbishness:: 势利¦n::snobbism:: 势利					
snooker	'snukɚ	'snuːkə	n::斯诺克台球::a game played especially in Britain on a special table covered in green cloth, in which two people use long sticks to hit coloured balls into holes at the sides and corners of the table¦v::阻挠::		They meet up every Friday to play snooker .::他们每周五碰头打斯诺克台球。	vt::阻挠::stimy						
snore	snɔr	snɔː	n::鼾声::Snore is also a noun¦v::打呼噜；打着鼾声渡过::to breathe in a noisy way through your mouth and nose while you are asleep		Uncle Arthur, after a loud snore, woke suddenly.::阿瑟大叔响亮地打了个鼾后，突然醒了过来。	n::鼾声::stertor¦vi::打呼噜；打着鼾声渡过::drive one's pigs to market¦vt::[医]打鼾::drive one's pigs to market	n::snorer:: 打鼾者¦n::snorter:: 鼻息粗的人，发鼾声的人；表示轻蔑的人；怒号的大风；不寻常的人或物					
