ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
brain	bren	breɪn	n:: 脑， 脑髓； 脑袋； 智慧::the organ inside your head that controls how you think, feel, and move	human brain::人脑¦brain injury::[医]脑损伤¦brain damage::脑损伤¦brain drain::人才外流；智囊流失¦brain tumor::脑瘤，脑癌；脑肿瘤¦brain activity::大脑活动¦on the brain::念念不忘；着迷¦brain stem::脑干¦brain power::脑力；智能¦brain death::[医]脑死亡¦brain cell::脑细胞¦brain surgery::脑外科；脑部手术¦blood brain barrier::血脑屏障¦brain trust::智囊团¦brain chemistry::脑化学¦brain truster::n. 顾问；智囊团团员¦brain scan::脑部扫描¦brain work::脑力劳动¦brain dead::脑死亡的¦brain storming::头脑风暴法，集体创造性思维法	Messages from the brain are carried by the central nervous system.::大脑发出的信息是通过中枢神经系统传递的。¦the chemistry of the brain::大脑的化学性质¦the human brain::人脑¦She died of a brain tumour .::她死于脑瘤。	n::头脑，智力；脑袋::intelligence, mind, mentality	adj::brainy:: 聪明的；脑筋好的；有头脑的¦adj::brainless:: 无头脑的，愚蠢的					
lead	lid; lɛd	li:d;led	n:: 铅； 铅::	lead in::导入；引入线；开场白¦take the lead::v. 带头；为首¦in the lead::领先；主要的；占主导地位的¦lead time::n. 提前期；订货至交货的时间；研制周期；交付周期¦lead into::导致；引起¦under the lead of::在…的领导下¦lead poisoning::n. 铅中毒；[美国俚语]中弹受伤¦lead on::v. 哄骗；引诱¦lead paint::铅涂料；铅丹¦lead free::adj. 无铅的¦lead screw::导螺杆¦lead content::含铅量¦lead up::引入；抢先¦lead frame::引线框；引脚框架¦lead oxide::氧化铅；一氧化铅；密陀僧¦lead through::引入；带领¦lead wire::铅丝；导线；引出线¦blood lead::血铅¦lead a happy life::过一种幸福的生活¦lead acid battery::铅酸蓄电池；铅酸电池；密封蓄电池	Nina Ananiashvili and Alexei Fadeyechev from the Bolshoi Ballet dance the leads.::来自莫斯科大剧院芭蕾舞团的妮娜·安娜尼雅什维莉和阿历克谢·费德耶切夫担任主角。	n::领导；[化学]铅；导线；石墨；榜样::guidance, mirror, example¦vt::领导；致使；引导；指挥::aim, officer, captain, boss¦vi::领导；导致；用水砣测深::account, result in¦adj::带头的；最重要的::supreme, principal, main	adj::leading:: 领导的；主要的¦adj::leaded:: [冶] 加铅的¦adj::leaden:: 铅灰色的；铅制的；沉闷的；铅一般重的¦adj::leadless:: 无铅的；不含四乙铅的¦n::leadership:: 领导能力；领导阶层¦n::leading:: 领导；铅板；行距¦n::leader:: 领导者；首领；指挥者¦v::leading:: 领导（lead的ing形式）¦v::leaded:: 促使（lead的过去分词）；引导；带领¦vt::leaden:: 使沉重；使懒散；使呆滞					
help	hɛlp	help	v::帮助，援助；有助于，促进::to make it possible or easier for someone to do something by doing part of their work or by giving them something they need¦n:: 帮助， 援助； 帮手， 佣人； 救命::things you do to make it easier or possible for someone to do something	help oneself::自用；自取所需¦with the help of::在…的帮助下¦help someone with something::帮某人干某事¦help with::帮忙某人做…¦help each other::互相帮助¦need help::需要帮助¦can't help::禁不住，忍不住；不得不¦can you help me::你能帮我吗¦please help me::请帮帮我¦may i help you::要我帮忙吗；请问买什么（商场用语）¦cannot help::不得不；禁不住¦couldn't help::禁不住；不得不¦can not help::禁不住，忍不住；情不自禁¦ask for help::寻求帮助；求助；请求帮助¦help yourself::请自便¦with one's help::在某人的帮助下¦help out::帮助…摆脱困难¦could not help::禁不住，忍不住¦help on::鼓励；促进¦thanks for your help::感谢您的帮助	If there’s anything I can do to help, just give me a call.::如果需要我帮忙，就给我打个电话。	vt::帮助；促进；治疗；补救::facilitate, promote, boost, cure, further¦n::帮助；补救办法；帮忙者；有益的东西::assistance, aid, hand, boost¦vi::帮助；有用；招待::aid, serve	adj::helpful:: 有帮助的；有益的¦adj::helpless:: 无助的；无能的；没用的¦adj::helping:: 辅助的；给予帮助的¦adv::helplessly:: 无助地；无能为力地¦adv::helpfully:: 有益地；有用地¦n::helper:: 助手，帮手¦n::helping:: 帮助，协助；一份食物¦n::helpfulness:: 有益；有助¦v::helping:: 帮助；扶持（help的ing形式）					
expect	ɪk'spɛkt	ɪk'spekt	v:: 预期； 指望， 盼望； 要求::to demand that someone does something because it is a duty or seems reasonable	expect too much of::对(某人)期望过高¦expect of::对…期望（要求）¦expect to do::期待去做；期望做某事	He will be hard to beat. I fully expect (= am completely sure about ) that and I’m ready.::他很难击败。我确信这一点，不过我准备好了。	vt::期望；指望；认为；预料::promise oneself, guess, find, feel, make¦vi::期待；预期::look foward to, to look forward to	adj::expectant:: 期待的；怀孕的；预期中的¦adj::expectable:: 能预期的；意料中的¦adv::expectantly:: 期望地，期待地¦n::expectation:: 期待；预期；指望¦n::expectancy:: 期望，期待¦n::expectant:: 期待者；候选人					
emotion	ɪ'moʃən	ɪ'məuʃn	n:: 感情； 激情； 情绪::a strong human feeling such as love, hate, or anger	with emotion::激动地；感动地¦intense emotion::激情¦emotion quotient (EQ)::情商¦emotion quotient (eq)::情商	Her voice was full of emotion.::她的声音充满了激情。¦She was good at hiding her emotions.::她很会掩饰自己的情感。¦Kim received the news without showing any visible sign of emotion.::金接到消息时丝毫不露声色。	n::[心理]情感；情绪::mood, will, spirit, affect, feeling	adj::emotional:: 情绪的；易激动的；感动人的¦adj::emotive:: 感情的；情绪的；表现感情的¦adj::emotionless:: 没有情感的；不露情感的¦adv::emotionally:: 感情上；情绪上；令人激动地；情绪冲动地¦n::emotionality:: 情绪性；感动性¦n::emotionalism:: 感情主义；诉诸感情；主情主义¦vi::emote:: 夸张地表现感情		 e+mot(动)+ion→容易波动的情绪→感情， 情绪			
etiquette	'ɛtɪkɛt	'etɪket; -kət	n:: 礼节， 礼仪::the formal rules for polite behaviour in society or in a particular group		strict rules of professional etiquette::严格的行规	n::礼节，礼仪；规矩::ceremony, manner, protocol						
Chinese		'tʃaɪniːz	adj:: 中国的； 中国话的::relating to China, its people, or its language¦n::中国人；中国话，中文::the language used in China	in chinese::用汉语¦traditional chinese::繁体中文¦chinese medicine::中医¦chinese people::中国人¦chinese government::中国政府¦chinese communist::n. 中国共产党¦chinese language::汉语¦chinese nation::中华民族¦ancient chinese::n. 古代汉语¦modern chinese::现代汉语¦overseas chinese::华侨，海外华人¦chinese history::n. 中国历史¦chinese new year::n. 春节¦chinese academy of sciences::n. 中国科学院¦chinese character::汉字¦chinese painting::国画¦chinese communist party::中国共产党¦chinese mainland::中国大陆¦chinese food::中餐；中国食物；中式食品¦chinese revolution::辛亥革命	Do you fancy going out for a Chinese?::你想不想出去吃顿中餐？							
queue	kju	kjuː	v:: 排队::to form or join a line of people or vehicles waiting to do something or go somewhere¦n::行列::a line of people waiting to enter a building, buy something etc, or a line of vehicles waiting to move	queue up::v. 排队等候¦priority queue::优先排队¦print queue::打印队列	File not in print queue.::文件不在打印队列中。¦What if we want to write to a file outside the database or send the auditing record on a message queue?::如果我们想写入数据库外部的一个文件，或者发送一个消息队列上的审计记录，又该如何做呢？¦All objects will be drawn once without lighting, then lighting of all objects will be rendered together at the end of the render queue.::所有对象将无照明绘制一次，然后所有对象的照明将一起在渲染队列的末尾被渲染。	n::[数]队列；长队；辫子::train, alignment, tail, rank¦vi::[数]排队；排队等候::line up for, stand in a line			 q走在前面， 后面跟着ue+ue→真是一支长队			
date	det	deɪt	n:: 日期， 日子； 时期， 年代； 约会， 约会的对象； 枣::a particular day of the month or year, especially shown by a number	up to date::adj. 最新的；最近的；现代的¦out of date::过时的；过期的；废弃的¦delivery date::交货日期¦early date::早期¦date of birth::出生日期¦expiry date::到期日；有效期限¦date from::追溯到；始于；起源于¦blind date::n. 从未见面的男女经第三者安排所作的约会¦date of shipment::装船日期；发料日期¦due date::到期日¦effective date::有效日期；生效期¦on a date::约会¦expiration date::截止日期¦shipment date::装船日期；装运期¦date of delivery::交货日期¦date back::追溯到；回溯至¦keep up to date::使记到最近时期；赶上时代潮流¦release date::发布日期；发行日期；出厂日期¦maturity date::到期日¦chinese date::n. 枣	The date on the letter was 30th August 1962.::信上的日期是1962年8月30日。¦What’s today’s date?::今天几号？	n::日期；约会；年代；枣椰子::era, years, engagement¦vi::过时；注明日期；始于（某一历史时期）::get out of fashion, out of season	adj::dated:: 陈旧的；过时的；有日期的¦adj::datable:: 可确定时代的，可确定年代的¦adj::dateable:: 可确定时代的¦adj::dateless:: 无日期的，无期限的；经住时间考验的；远古的¦n::dating:: 约会；记日期的；注明日期¦n::dateline:: 国际日期变更线；报纸写明的发稿日期及地址；新闻电头¦n::datable:: 按日计工资¦v::dating:: 约会；定日期（date的ing形式）¦v::dated:: 注有日期（date的过去式和过去分词）		 讨厌(hate)约会(date)			
magic	'mædʒɪk	'mædʒɪk	adj:: 有魔力的::in stories, a magic word or object has special powers that make the person using it able to do impossible things¦n::魔法，魔术；魔力，魅力::the power to make impossible things happen by saying special words or doing special actions	black magic::n. 魔法；巫术¦magic art::魔术；妖术；巫术¦as if by magic::adv. 不可思议地¦magic wand::魔杖，魔术棒¦magic words::咒语¦orlando magic::n. 奥兰多魔术队（美国篮球队名称）¦magic tricks::魔术¦magic mirror::魔镜；半透玫；幻境¦magic square::幻方，纵横图¦magic bullet::魔弹¦magic cube::[计]魔方¦magic number::幻数，魔术数字¦magic box::魔法箱子；魔术盒；百宝箱（一种软件）¦magic realism::魔幻现实主义¦magic carpet::n. （《一千零一夜》中载人飞行的）魔毯；幻想中的神奇无比的交通工具¦magic touch::魔术手法，魔力¦magic lamp::幻灯¦magic eye::n. [电]电眼；电子射线管；调谐指示器¦magic circle::魔法阵；幻圆；魔术圈¦magic hand::机械手，人造手	a book of magic spells::一本关于魔法的书¦a magic sword::一把魔剑	n::巫术；魔法；戏法::medicine, witchcraft, wizardry¦adj::不可思议的；有魔力的；魔术的::mysterious, fantastic, miraculous	adj::magical:: 魔术的；有魔力的¦adv::magically:: 用魔法地；如魔法般地¦n::magician:: 魔术师，变戏法的人		 “卖即刻”→魔术卖弄的就是即刻的技巧→魔术			
impolite	ˌɪmpəˈlaɪt	ˌɪmpə'laɪt	adj:: 不礼貌的， 粗鲁的::not polite		an impolite remark::无礼的话	adj::无礼的；粗鲁的::robust, crude, rude	adv::impolitely:: 不客气地；无礼地¦n::impoliteness:: 无礼；粗鲁					
dress	drɛs	dres	v:: 给…穿衣::to put clothes on yourself or someone else¦n::连衣裙；衣服，服装::a piece of clothing worn by a woman or girl that covers the top of her body and part or all of her legs	dress oneself::打扮；给自己穿衣服¦dress up::v. 打扮，装饰；穿上盛装¦dress in::（使）穿…的服装；乔装打扮¦wedding dress::结婚礼服¦dress for::为…而打扮¦evening dress::夜礼服¦dress code::着装要求¦dress designing::服装设计¦fancy dress::n. 化装舞会所穿着的服装¦dress up as::装扮成，打扮成¦formal dress::n. 礼服¦dress down::叱责；着朴素的服装；梳刷¦long dress::长衣¦dress and personal adornment::服饰¦full dress::礼服，晚礼服；挂满旗¦maternity dress::n. 孕妇装¦dress shirt::礼服衬衫；男式白衬衫¦cocktail dress::酒会礼服；（正式场合穿的）短裙¦dress form::女装人体模型；服装人体模型；服装模型（陈列服装的人体模型）¦casual dress::便装；休闲服装	Can you wait a minute? I’m just getting dressed .::稍等一会儿，我穿下衣服就好。¦She dressed quickly and went out of the house.::她很快穿好衣服，走到房子外面。¦I usually have to dress the kids in the mornings.::早上我通常得给孩子们穿衣服。	vt::给…穿衣::apparel, clothe¦n::[服装]连衣裙；女装::frock, suit-dress	adj::dressed:: 穿好衣服的；打扮好的；去内脏及分割加工好的（特指动物，如鱼，禽类等）¦adj::dressy:: 讲究服装的¦n::dressing:: 穿衣；加工；调味品；装饰；梳理¦n::dressage:: 盛装舞步；花式骑术训练；驯马技术¦n::dressmaking:: 女装裁缝¦v::dressing:: 给…穿衣；为…打扮（dress的现在分词）¦v::dressed:: 装饰；给…穿衣；布置（dress的过去分词）¦v::dressmaking:: 制衣（尤指制女装，dressmake的ing形式）					
